ID,Género,Grupo Étnico,Nivel Educativo Padres,Tipo De Almuerzo,Preparación Para Examen,Nota Matemáticas,Nota Lectura,Nota Escritura,Estado Civil Padres,Práctica Deportiva,Medio De Transporte,Horas De Estudio Semanal
43,female,group B,associate's degree,standard,none,53,58,65,married,sometimes,school_bus,< 5
44,male,group B,some college,free/reduced,completed,59,65,66,single,sometimes,school_bus,< 5
45,female,group E,associate's degree,free/reduced,none,50,56,54,married,regularly,private,5 - 10
46,male,group B,associate's degree,standard,none,65,54,57,married,sometimes,walking,5 - 10
47,female,group A,associate's degree,standard,completed,55,65,62,married,sometimes,school_bus,> 10
48,female,group C,high school,standard,none,66,71,76,married,regularly,private,< 5
49,female,group D,associate's degree,free/reduced,completed,57,74,76,divorced,regularly,school_bus,> 10
50,male,group C,high school,standard,completed,82,84,82,single,sometimes,school_bus,5 - 10
51,male,group E,some college,standard,none,53,55,48,married,regularly,private,> 10
52,male,group E,associate's degree,free/reduced,completed,77,69,68,divorced,sometimes,private,5 - 10
53,male,group C,some college,standard,none,53,44,42,married,sometimes,school_bus,> 10
54,male,group D,high school,standard,none,88,78,75,single,sometimes,private,5 - 10
55,female,group C,some high school,free/reduced,completed,71,84,87,married,regularly,private,> 10
56,female,group C,high school,free/reduced,none,33,41,43,single,regularly,school_bus,> 10
57,female,group E,associate's degree,standard,completed,82,85,86,married,sometimes,school_bus,5 - 10
58,male,group D,associate's degree,standard,none,52,55,49,married,sometimes,private,5 - 10
59,male,group D,some college,standard,completed,58,59,58,married,sometimes,school_bus,5 - 10
60,female,group C,some high school,free/reduced,none,0,17,10,married,never,private,< 5
61,male,group E,bachelor's degree,free/reduced,completed,79,74,72,married,sometimes,school_bus,5 - 10
62,male,group A,some high school,free/reduced,none,39,39,34,married,regularly,school_bus,5 - 10
63,male,group A,associate's degree,free/reduced,none,62,61,55,divorced,regularly,school_bus,5 - 10
64,female,group C,associate's degree,standard,none,69,80,71,single,sometimes,school_bus,5 - 10
65,female,group D,some high school,standard,none,59,58,59,divorced,sometimes,private,> 10
66,male,group B,some high school,standard,none,67,64,61,single,regularly,private,5 - 10
67,male,group D,some high school,free/reduced,none,45,37,37,divorced,never,school_bus,5 - 10
68,female,group C,some college,standard,none,60,72,74,married,sometimes,private,< 5
69,male,group B,associate's degree,free/reduced,none,61,58,56,divorced,sometimes,school_bus,5 - 10
70,female,group C,associate's degree,standard,none,39,64,57,not specified,sometimes,school_bus,5 - 10
71,female,group D,some college,free/reduced,completed,58,63,73,not specified,regularly,walking,5 - 10
72,male,group D,some college,standard,completed,63,55,63,divorced,sometimes,school_bus,> 10
73,female,group A,associate's degree,free/reduced,none,41,51,48,divorced,never,school_bus,5 - 10
74,male,group C,some high school,free/reduced,none,61,57,56,married,regularly,private,> 10
75,male,group C,some high school,standard,none,49,49,41,married,sometimes,private,5 - 10
76,male,group B,associate's degree,free/reduced,none,44,41,38,married,sometimes,school_bus,5 - 10
77,male,group E,some high school,standard,none,30,26,22,married,regularly,private,5 - 10
78,male,group A,bachelor's degree,standard,completed,80,78,81,married,never,private,5 - 10
79,female,group D,some high school,standard,completed,61,74,72,divorced,sometimes,private,5 - 10
80,female,group E,master's degree,standard,none,62,68,68,married,sometimes,school_bus,< 5
81,female,group B,associate's degree,standard,none,47,49,50,single,sometimes,private,5 - 10
82,male,group B,high school,free/reduced,none,49,45,45,divorced,regularly,school_bus,< 5
83,male,group A,some college,free/reduced,completed,50,47,54,single,sometimes,private,> 10
84,male,group E,associate's degree,standard,none,72,64,63,divorced,regularly,walking,5 - 10
85,male,group D,high school,free/reduced,none,42,39,34,divorced,sometimes,walking,< 5
86,female,group C,some college,standard,none,73,80,82,married,regularly,private,> 10
87,female,group C,some college,free/reduced,none,76,83,88,married,regularly,private,5 - 10
88,female,group D,associate's degree,standard,none,71,71,74,married,regularly,school_bus,5 - 10
89,female,group A,some college,standard,none,58,70,67,married,never,school_bus,< 5
90,female,group D,some high school,standard,none,73,86,82,single,regularly,walking,> 10
91,female,group C,bachelor's degree,standard,none,65,72,74,married,regularly,school_bus,< 5
92,male,group C,high school,free/reduced,none,27,34,36,married,sometimes,school_bus,5 - 10
93,male,group C,high school,standard,none,71,79,71,single,sometimes,private,5 - 10
94,male,group C,associate's degree,free/reduced,completed,43,45,50,married,regularly,school_bus,5 - 10
95,female,group B,some college,standard,none,79,86,92,married,regularly,school_bus,5 - 10
96,male,group C,associate's degree,free/reduced,completed,78,81,82,married,regularly,school_bus,> 10
97,male,group B,some high school,standard,completed,65,66,62,married,sometimes,school_bus,5 - 10
98,female,group E,some college,standard,completed,63,72,70,married,sometimes,private,5 - 10
99,female,group D,some college,free/reduced,none,58,67,62,single,sometimes,school_bus,5 - 10
100,female,group D,bachelor's degree,standard,none,65,67,62,married,sometimes,school_bus,5 - 10
101,male,group B,some college,standard,none,79,67,67,single,regularly,school_bus,5 - 10
102,male,group D,bachelor's degree,standard,completed,68,74,74,single,sometimes,school_bus,> 10
103,female,group D,associate's degree,standard,none,85,91,89,single,regularly,walking,5 - 10
104,male,group B,high school,standard,completed,60,44,47,married,sometimes,school_bus,5 - 10
105,male,group C,some college,standard,completed,98,86,90,married,never,school_bus,< 5
106,female,group C,some college,standard,none,58,67,72,married,regularly,school_bus,< 5
107,female,group D,master's degree,standard,none,87,100,100,married,sometimes,private,5 - 10
108,male,group E,associate's degree,standard,completed,66,63,64,single,never,school_bus,5 - 10
109,female,group B,associate's degree,free/reduced,none,52,76,70,married,never,private,5 - 10
110,female,group B,some high school,standard,none,70,64,72,single,regularly,private,> 10
111,female,group D,associate's degree,free/reduced,completed,77,89,98,divorced,sometimes,school_bus,5 - 10
112,male,group C,high school,standard,none,62,55,49,married,never,school_bus,5 - 10
113,male,group A,associate's degree,standard,none,54,53,47,married,sometimes,school_bus,< 5
114,female,group D,some college,standard,none,51,58,54,single,regularly,walking,5 - 10
115,female,group E,bachelor's degree,standard,completed,99,100,100,married,sometimes,private,5 - 10
116,male,group C,high school,standard,none,84,77,74,single,regularly,school_bus,< 5
117,female,group B,bachelor's degree,free/reduced,none,75,85,82,single,never,school_bus,> 10
118,female,group D,bachelor's degree,standard,none,78,82,79,married,sometimes,private,5 - 10
119,female,group D,some high school,standard,none,51,63,61,married,regularly,school_bus,< 5
120,female,group C,some college,standard,none,55,69,65,single,never,private,< 5
121,female,group C,bachelor's degree,standard,completed,79,92,89,not specified,regularly,school_bus,5 - 10
122,male,group B,associate's degree,standard,completed,91,89,92,single,sometimes,school_bus,< 5
123,female,group C,some college,standard,completed,88,93,93,single,regularly,private,< 5
124,male,group D,high school,free/reduced,none,63,57,56,married,regularly,school_bus,5 - 10
125,male,group E,some college,standard,none,83,80,73,married,never,walking,< 5
126,female,group B,high school,standard,none,87,95,86,married,sometimes,private,> 10
127,male,group B,some high school,standard,none,72,68,67,married,sometimes,walking,< 5
128,male,group D,some college,standard,completed,65,77,74,divorced,sometimes,private,5 - 10
129,male,group D,master's degree,standard,none,82,82,74,divorced,sometimes,school_bus,< 5
130,female,group A,bachelor's degree,standard,none,51,49,51,married,sometimes,private,5 - 10
131,male,group D,master's degree,standard,none,89,84,82,married,sometimes,private,> 10
132,male,group C,some high school,free/reduced,completed,53,37,40,married,sometimes,school_bus,5 - 10
133,male,group E,some college,free/reduced,completed,87,74,70,married,regularly,private,5 - 10
134,female,group C,some college,standard,completed,75,81,84,single,regularly,private,< 5
135,male,group D,bachelor's degree,free/reduced,completed,74,79,75,single,sometimes,school_bus,5 - 10
136,male,group C,bachelor's degree,standard,none,58,55,48,divorced,sometimes,private,> 10
137,male,group B,some high school,standard,completed,51,54,41,single,regularly,school_bus,< 5
138,male,group E,high school,standard,none,70,55,56,married,sometimes,private,< 5
139,female,group C,associate's degree,standard,none,59,66,67,married,regularly,private,5 - 10
140,male,group D,some college,standard,completed,71,61,69,married,sometimes,private,5 - 10
141,female,group D,some high school,standard,none,76,72,71,single,sometimes,school_bus,< 5
142,female,group C,some college,free/reduced,none,59,62,64,married,sometimes,walking,5 - 10
143,female,group E,some college,free/reduced,completed,42,55,54,single,never,walking,< 5
144,male,group A,high school,standard,none,57,43,47,married,regularly,school_bus,< 5
145,male,group D,some college,standard,none,88,73,78,married,regularly,school_bus,5 - 10
146,female,group C,some college,free/reduced,none,22,39,33,not specified,sometimes,school_bus,< 5
147,male,group B,some high school,standard,none,88,84,75,divorced,regularly,private,5 - 10
148,male,group C,associate's degree,free/reduced,none,73,68,66,married,regularly,school_bus,> 10
149,female,group D,bachelor's degree,standard,completed,68,75,81,single,sometimes,private,5 - 10
150,male,group E,associate's degree,free/reduced,completed,100,100,93,married,sometimes,school_bus,5 - 10
151,male,group A,some high school,standard,completed,62,67,69,single,never,school_bus,5 - 10
152,male,group A,bachelor's degree,standard,none,77,67,68,divorced,sometimes,school_bus,5 - 10
153,female,group B,associate's degree,standard,completed,59,70,66,married,never,private,< 5
154,male,group D,bachelor's degree,standard,none,54,49,47,married,sometimes,school_bus,5 - 10
155,male,group D,some high school,standard,none,62,67,61,single,sometimes,private,5 - 10
156,female,group C,some college,standard,completed,70,89,88,married,regularly,private,> 10
157,female,group E,high school,free/reduced,completed,66,74,78,married,regularly,private,5 - 10
158,male,group B,some college,free/reduced,none,60,60,60,divorced,regularly,school_bus,> 10
159,female,group B,associate's degree,standard,completed,61,86,87,married,sometimes,school_bus,< 5
160,male,group D,associate's degree,free/reduced,none,66,62,64,single,never,school_bus,5 - 10
161,male,group B,associate's degree,free/reduced,completed,82,78,74,married,sometimes,school_bus,5 - 10
162,female,group E,some college,free/reduced,completed,75,88,85,married,sometimes,school_bus,< 5
163,male,group B,master's degree,free/reduced,none,49,53,52,divorced,sometimes,school_bus,5 - 10
164,male,group C,high school,standard,none,52,53,49,married,sometimes,school_bus,< 5
165,female,group E,master's degree,standard,none,81,92,91,married,regularly,school_bus,< 5
166,female,group C,bachelor's degree,standard,completed,96,100,100,divorced,regularly,school_bus,5 - 10
167,male,group C,high school,free/reduced,completed,53,51,51,divorced,regularly,school_bus,5 - 10
168,female,group B,master's degree,free/reduced,completed,58,76,78,single,sometimes,private,< 5
169,female,group B,high school,standard,completed,68,83,78,single,sometimes,private,5 - 10
170,female,group C,some college,free/reduced,completed,67,75,70,married,sometimes,private,5 - 10
171,male,group A,high school,standard,completed,72,73,74,single,sometimes,private,< 5
172,male,group E,some high school,standard,none,94,88,78,married,never,private,< 5
173,female,group D,some college,standard,none,79,86,81,married,never,school_bus,< 5
174,female,group C,associate's degree,standard,none,63,67,70,married,sometimes,private,5 - 10
175,female,group C,bachelor's degree,free/reduced,completed,43,51,54,married,regularly,school_bus,< 5
176,female,group C,master's degree,standard,completed,81,91,87,single,sometimes,school_bus,< 5
177,female,group B,high school,free/reduced,completed,46,54,58,married,sometimes,school_bus,5 - 10
178,female,group C,associate's degree,standard,completed,71,77,77,married,sometimes,school_bus,< 5
179,female,group B,master's degree,free/reduced,completed,52,70,62,single,sometimes,private,5 - 10
180,female,group D,some high school,standard,completed,97,100,100,married,regularly,walking,5 - 10
181,male,group C,master's degree,free/reduced,completed,62,68,75,not specified,regularly,school_bus,< 5
182,female,group C,some college,free/reduced,none,46,64,66,married,regularly,school_bus,< 5
183,female,group E,high school,standard,none,50,50,47,married,never,school_bus,5 - 10
184,female,group D,associate's degree,standard,none,65,69,70,married,sometimes,private,> 10
185,male,group C,some high school,free/reduced,completed,45,52,49,widowed,regularly,walking,> 10
186,male,group C,associate's degree,free/reduced,completed,65,67,65,married,regularly,private,5 - 10
187,male,group E,high school,standard,none,80,76,65,single,regularly,private,< 5
188,male,group D,some high school,standard,completed,62,66,68,divorced,sometimes,school_bus,< 5
189,male,group B,some high school,free/reduced,none,48,52,45,married,sometimes,school_bus,5 - 10
190,female,group C,bachelor's degree,standard,none,77,88,87,not specified,regularly,school_bus,5 - 10
191,female,group E,associate's degree,standard,none,66,65,69,single,regularly,walking,< 5
192,male,group D,some college,standard,completed,76,83,79,married,sometimes,school_bus,< 5
193,female,group B,some high school,standard,none,62,64,66,married,regularly,school_bus,5 - 10
194,male,group D,some college,standard,completed,77,62,62,married,regularly,school_bus,5 - 10
195,female,group C,master's degree,standard,completed,69,84,85,married,regularly,private,< 5
196,male,group D,associate's degree,standard,none,61,55,52,single,sometimes,walking,5 - 10
197,male,group C,some high school,free/reduced,completed,59,69,65,widowed,sometimes,school_bus,< 5
198,male,group E,high school,free/reduced,none,55,56,51,married,sometimes,school_bus,5 - 10
199,female,group B,some college,free/reduced,none,45,53,55,divorced,sometimes,school_bus,5 - 10
200,female,group B,bachelor's degree,free/reduced,none,78,79,76,single,regularly,school_bus,5 - 10
201,female,group C,associate's degree,standard,completed,67,84,86,married,sometimes,private,5 - 10
202,female,group D,some college,free/reduced,none,65,81,77,not specified,regularly,private,5 - 10
203,male,group C,associate's degree,standard,none,69,77,69,married,sometimes,school_bus,< 5
204,female,group B,associate's degree,standard,none,57,69,68,married,regularly,walking,< 5
205,male,group C,some college,standard,none,59,41,42,married,sometimes,school_bus,< 5
206,male,group D,some high school,standard,completed,74,71,78,single,never,walking,5 - 10
207,male,group E,bachelor's degree,standard,none,82,62,62,widowed,regularly,school_bus,5 - 10
208,male,group E,high school,standard,completed,81,80,76,married,sometimes,school_bus,> 10
209,female,group B,some college,free/reduced,none,74,81,76,divorced,sometimes,walking,5 - 10
210,female,group B,some college,free/reduced,none,58,61,66,married,regularly,school_bus,5 - 10
211,male,group D,some high school,free/reduced,completed,80,79,79,divorced,regularly,school_bus,> 10
212,male,group C,some college,free/reduced,none,35,28,27,married,sometimes,private,< 5
213,female,group C,high school,free/reduced,none,42,62,60,married,sometimes,school_bus,5 - 10
214,male,group C,associate's degree,free/reduced,completed,60,51,56,single,regularly,school_bus,5 - 10
215,male,group E,high school,standard,completed,87,91,81,divorced,sometimes,school_bus,5 - 10
216,male,group B,some high school,standard,completed,84,83,75,married,regularly,school_bus,> 10
217,female,group E,associate's degree,free/reduced,completed,83,86,88,married,regularly,walking,5 - 10
218,female,group C,high school,free/reduced,none,34,42,39,married,regularly,private,5 - 10
219,male,group B,high school,free/reduced,none,66,77,70,married,sometimes,school_bus,5 - 10
220,male,group B,some high school,standard,completed,61,56,56,divorced,sometimes,school_bus,> 10
221,female,group D,high school,standard,completed,56,68,74,married,sometimes,school_bus,> 10
222,male,group B,associate's degree,standard,none,87,85,73,married,regularly,school_bus,> 10
223,female,group C,some high school,free/reduced,none,55,65,62,divorced,regularly,school_bus,< 5
224,male,group D,some high school,standard,none,86,80,75,married,sometimes,school_bus,< 5
225,female,group B,associate's degree,standard,completed,52,66,73,married,regularly,private,> 10
226,female,group E,master's degree,free/reduced,none,45,56,54,not specified,sometimes,private,5 - 10
227,female,group C,some college,standard,none,72,72,71,divorced,sometimes,private,> 10
228,male,group D,high school,standard,none,57,50,54,single,regularly,private,5 - 10
229,male,group A,some high school,free/reduced,none,68,72,64,single,regularly,school_bus,< 5
230,female,group C,some college,standard,completed,88,95,94,divorced,regularly,school_bus,< 5
231,male,group D,some college,standard,none,76,64,66,married,sometimes,private,< 5
232,male,group C,associate's degree,standard,none,46,43,42,married,regularly,school_bus,5 - 10
233,female,group B,bachelor's degree,standard,none,67,86,83,single,sometimes,private,5 - 10
234,male,group E,some high school,standard,none,92,87,78,married,sometimes,private,< 5
235,male,group C,bachelor's degree,standard,completed,83,82,84,married,sometimes,school_bus,> 10
236,male,group D,associate's degree,standard,none,80,75,77,single,sometimes,school_bus,5 - 10
237,male,group D,bachelor's degree,free/reduced,none,63,66,67,married,regularly,school_bus,< 5
238,female,group D,some high school,standard,completed,64,60,74,single,sometimes,private,5 - 10
239,male,group B,some college,standard,none,54,52,51,married,sometimes,school_bus,5 - 10
240,male,group C,associate's degree,standard,none,84,80,80,married,sometimes,private,5 - 10
241,male,group D,high school,free/reduced,completed,73,68,66,single,sometimes,school_bus,5 - 10
242,female,group E,bachelor's degree,standard,none,80,83,83,single,sometimes,private,< 5
243,female,group D,high school,standard,none,56,52,55,married,regularly,school_bus,5 - 10
244,male,group E,some college,standard,none,59,51,43,married,sometimes,private,> 10
245,male,group D,some high school,standard,none,75,74,69,married,sometimes,school_bus,5 - 10
246,male,group C,associate's degree,standard,none,85,76,71,married,regularly,private,5 - 10
247,male,group E,associate's degree,standard,none,89,76,74,single,sometimes,private,5 - 10
248,female,group B,high school,standard,completed,58,70,68,married,sometimes,private,5 - 10
249,female,group B,high school,standard,none,65,64,62,divorced,sometimes,school_bus,< 5
250,male,group C,high school,standard,none,68,60,53,married,sometimes,school_bus,< 5
251,male,group A,some high school,standard,completed,47,49,49,married,regularly,school_bus,5 - 10
252,female,group D,some college,free/reduced,none,71,83,83,married,regularly,school_bus,> 10
253,female,group B,some high school,standard,completed,60,70,70,married,sometimes,school_bus,5 - 10
254,male,group D,master's degree,standard,none,80,80,72,married,sometimes,school_bus,5 - 10
255,male,group D,high school,standard,none,54,52,52,single,regularly,walking,< 5
256,female,group E,some college,standard,none,62,73,70,single,regularly,private,5 - 10
257,female,group C,associate's degree,free/reduced,none,64,73,68,married,sometimes,private,5 - 10
258,male,group C,associate's degree,standard,completed,78,77,77,widowed,sometimes,school_bus,< 5
259,female,group B,some college,standard,none,70,75,78,married,sometimes,school_bus,5 - 10
260,female,group C,master's degree,free/reduced,completed,65,81,81,married,sometimes,private,< 5
261,female,group C,some high school,free/reduced,completed,64,79,77,single,sometimes,school_bus,< 5
262,male,group C,some college,standard,completed,79,79,78,married,sometimes,school_bus,5 - 10
263,female,group C,some high school,free/reduced,none,44,50,51,widowed,sometimes,school_bus,5 - 10
264,female,group E,high school,standard,none,99,93,90,divorced,sometimes,private,5 - 10
265,male,group D,high school,standard,none,76,73,68,divorced,regularly,school_bus,5 - 10
266,male,group D,some high school,free/reduced,none,59,42,41,not specified,never,school_bus,5 - 10
267,female,group C,bachelor's degree,standard,none,63,75,81,married,regularly,private,< 5
268,female,group D,high school,standard,none,69,72,77,married,never,school_bus,5 - 10
269,female,group D,associate's degree,standard,completed,88,92,95,married,regularly,private,5 - 10
270,female,group E,some college,free/reduced,none,71,76,70,married,sometimes,school_bus,< 5
271,male,group C,bachelor's degree,standard,none,69,63,61,single,sometimes,walking,< 5
272,male,group C,some college,standard,none,58,49,42,married,sometimes,school_bus,> 10
273,female,group D,associate's degree,free/reduced,none,47,53,58,married,sometimes,school_bus,5 - 10
274,female,group D,some college,standard,none,65,70,71,married,sometimes,private,< 5
275,male,group B,some college,standard,completed,88,85,76,married,never,private,5 - 10
276,male,group C,bachelor's degree,standard,none,83,78,73,married,sometimes,school_bus,> 10
277,female,group C,some high school,standard,completed,85,92,93,single,regularly,school_bus,5 - 10
278,female,group E,high school,standard,completed,59,63,75,married,never,school_bus,> 10
279,female,group C,some high school,free/reduced,none,65,86,80,widowed,regularly,school_bus,5 - 10
280,male,group B,bachelor's degree,free/reduced,none,73,56,57,single,regularly,school_bus,5 - 10
281,male,group D,high school,standard,none,53,52,42,single,regularly,private,< 5
282,male,group D,high school,standard,none,45,48,46,married,regularly,walking,< 5
283,female,group D,bachelor's degree,free/reduced,none,73,79,84,married,never,private,< 5
284,female,group D,some college,free/reduced,completed,70,78,78,divorced,regularly,school_bus,< 5
285,female,group B,some high school,standard,none,37,46,46,single,never,school_bus,> 10
286,male,group B,associate's degree,standard,completed,81,82,82,married,regularly,school_bus,5 - 10
287,male,group E,associate's degree,standard,completed,97,82,88,married,regularly,school_bus,5 - 10
288,female,group B,some high school,standard,none,67,89,82,not specified,sometimes,private,5 - 10
289,male,group B,bachelor's degree,free/reduced,none,88,75,76,divorced,regularly,private,5 - 10
290,male,group E,some high school,standard,completed,77,76,77,single,regularly,walking,5 - 10
291,male,group C,associate's degree,standard,none,76,70,68,married,regularly,private,> 10
292,male,group D,some high school,standard,none,86,73,70,single,regularly,walking,< 5
293,male,group C,some high school,standard,completed,63,60,57,married,sometimes,school_bus,5 - 10
294,female,group E,bachelor's degree,standard,none,65,73,75,married,never,school_bus,< 5
295,male,group D,high school,free/reduced,completed,78,77,80,single,sometimes,private,5 - 10
296,male,group B,associate's degree,free/reduced,none,67,62,60,single,sometimes,private,> 10
297,male,group A,some high school,standard,completed,46,41,43,married,regularly,private,5 - 10
298,male,group E,associate's degree,standard,completed,71,74,68,widowed,never,private,5 - 10
299,male,group C,high school,free/reduced,completed,40,46,50,single,sometimes,school_bus,5 - 10
300,male,group D,associate's degree,free/reduced,none,90,87,75,married,sometimes,private,< 5
301,male,group A,some college,free/reduced,completed,81,78,81,single,regularly,school_bus,< 5
302,male,group D,some high school,free/reduced,none,56,54,52,divorced,sometimes,walking,< 5
303,female,group C,associate's degree,standard,completed,67,84,81,married,never,private,> 10
304,male,group B,associate's degree,standard,none,80,76,64,married,regularly,private,< 5
305,female,group C,associate's degree,standard,completed,74,75,83,married,sometimes,private,5 - 10
306,male,group A,some college,standard,none,69,67,69,divorced,sometimes,walking,< 5
307,male,group E,some college,standard,completed,99,87,81,single,sometimes,school_bus,5 - 10
308,male,group C,some high school,standard,none,51,52,44,married,sometimes,school_bus,5 - 10
309,female,group B,associate's degree,free/reduced,none,53,71,67,married,regularly,school_bus,> 10
310,female,group D,high school,free/reduced,none,49,57,52,married,sometimes,school_bus,5 - 10
311,female,group B,associate's degree,standard,none,73,76,80,married,sometimes,school_bus,< 5
312,male,group B,bachelor's degree,standard,none,66,60,57,single,regularly,school_bus,< 5
313,male,group D,bachelor's degree,standard,completed,67,61,68,not specified,sometimes,private,< 5
314,female,group C,associate's degree,free/reduced,completed,68,67,69,married,never,school_bus,> 10
315,female,group C,bachelor's degree,standard,completed,59,64,75,single,sometimes,school_bus,5 - 10
316,male,group C,high school,standard,none,71,66,65,not specified,sometimes,walking,5 - 10
317,female,group D,master's degree,standard,completed,77,82,91,married,regularly,walking,5 - 10
318,male,group C,associate's degree,standard,none,83,72,78,married,regularly,private,5 - 10
319,male,group B,bachelor's degree,standard,none,63,71,69,single,regularly,walking,5 - 10
320,female,group D,associate's degree,free/reduced,none,56,65,63,single,sometimes,school_bus,< 5
321,female,group C,high school,free/reduced,completed,67,79,84,married,sometimes,school_bus,5 - 10
322,female,group E,high school,standard,none,75,86,79,married,regularly,school_bus,> 10
323,female,group C,some college,standard,none,71,81,80,married,regularly,walking,5 - 10
324,female,group C,some high school,free/reduced,none,43,53,53,single,sometimes,school_bus,< 5
325,female,group C,high school,free/reduced,none,41,46,43,single,sometimes,private,< 5
326,female,group C,some college,standard,none,82,90,94,not specified,regularly,school_bus,< 5
327,male,group C,some college,standard,none,61,61,62,married,sometimes,private,5 - 10
328,male,group A,some college,free/reduced,none,28,23,19,married,sometimes,school_bus,5 - 10
329,male,group C,associate's degree,standard,completed,82,75,77,married,regularly,walking,< 5
330,female,group B,some high school,standard,none,41,55,51,divorced,regularly,private,> 10
331,male,group C,high school,standard,none,71,60,61,married,sometimes,private,5 - 10
332,male,group C,associate's degree,standard,none,47,37,35,married,sometimes,school_bus,> 10
333,male,group E,associate's degree,standard,completed,62,56,53,married,sometimes,school_bus,< 5
334,male,group B,associate's degree,standard,none,90,78,81,married,regularly,private,< 5
335,female,group C,bachelor's degree,standard,none,83,93,95,married,never,walking,< 5
336,female,group B,some college,free/reduced,none,61,68,66,single,regularly,school_bus,> 10
337,male,group D,some high school,standard,completed,76,70,69,married,sometimes,private,5 - 10
338,male,group C,associate's degree,standard,none,49,51,43,married,sometimes,private,< 5
339,female,group B,some high school,free/reduced,none,24,38,27,divorced,sometimes,private,< 5
340,female,group D,some high school,free/reduced,completed,35,55,60,married,never,school_bus,5 - 10
341,male,group C,high school,free/reduced,none,58,61,52,single,regularly,private,5 - 10
342,female,group C,high school,standard,none,61,73,63,single,regularly,private,5 - 10
343,female,group B,high school,standard,completed,69,76,74,single,sometimes,school_bus,< 5
344,male,group D,associate's degree,standard,completed,67,72,67,divorced,regularly,school_bus,5 - 10
345,male,group D,some college,standard,none,79,73,67,married,regularly,private,> 10
346,female,group C,high school,standard,none,72,80,75,married,sometimes,walking,5 - 10
347,male,group B,some college,standard,none,62,61,57,married,regularly,private,> 10
348,female,group C,bachelor's degree,standard,completed,77,94,95,single,sometimes,private,5 - 10
